Event	ID	Name			Wwise Object Path	Notes
	132381101	Interruptor			\Default Work Unit\Objects\Interruptor	
	313744885	MozJump			\Default Work Unit\Moz\MozJump	
	773707930	MozFootsteps			\Default Work Unit\Moz\MozFootsteps	
	783075190	MozLanding			\Default Work Unit\Moz\MozLanding	
	1035518595	OzLanding			\Default Work Unit\Oz\OzLanding	
	1595060770	OzJump			\Default Work Unit\Oz\OzJump	
	1730564753	Musics			\Default Work Unit\Musics	
	1891947077	OzDoubleJump			\Default Work Unit\Oz\OzDoubleJump	
	2411999260	CrateFriction			\Default Work Unit\Objects\CrateFriction	
	2515146559	OzFootsteps			\Default Work Unit\Oz\OzFootsteps	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3920675	Dark Tuto GGJ 2021	D:\GitKraken\Souls-Cream\Souls-Cream_WwiseProject\.cache\Mac\SFX\Dark Tuto GGJ 2021_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\TutoThemeDark\Dark Tuto GGJ 2021		11904240
	31055670	MozFootsteps_03	D:\GitKraken\Souls-Cream\Souls-Cream_WwiseProject\.cache\Mac\SFX\PlayerMozFootsteps_C44C71A6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moz\MozFootsteps\MozFootsteps_03		25896
	136186369	OzLanding	D:\GitKraken\Souls-Cream\Souls-Cream_WwiseProject\.cache\Mac\SFX\PlayerOzJump_552D154C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Oz\OzLanding		21480
	167913592	Interruptor1	D:\GitKraken\Souls-Cream\Souls-Cream_WwiseProject\.cache\Mac\SFX\Interruptor_5E9C9814.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Interruptor\Interruptor1		40828
	190532320	Interruptor2	D:\GitKraken\Souls-Cream\Souls-Cream_WwiseProject\.cache\Mac\SFX\Interruptor_9B63C4FD.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Interruptor\Interruptor2		38788
	241080445	MozJump3	D:\GitKraken\Souls-Cream\Souls-Cream_WwiseProject\.cache\Mac\SFX\PlayerMozJump_57DEBAAB.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moz\MozJump\MozJump3		54460
	269640153	MozLanding2	D:\GitKraken\Souls-Cream\Souls-Cream_WwiseProject\.cache\Mac\SFX\PlayerMozJump_AF8D132B.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moz\MozLanding\MozLanding2		48416
	340180847	OzFootsteps1	D:\GitKraken\Souls-Cream\Souls-Cream_WwiseProject\.cache\Mac\SFX\PlayerOzFootsteps_5B7EF906.wem		\Actor-Mixer Hierarchy\Default Work Unit\Oz\OzFootsteps\OzFootsteps1		7196
	350871938	MozLanding3	D:\GitKraken\Souls-Cream\Souls-Cream_WwiseProject\.cache\Mac\SFX\PlayerMozJump_BB85777A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moz\MozLanding\MozLanding3		42372
	383526885	OzFootsteps4	D:\GitKraken\Souls-Cream\Souls-Cream_WwiseProject\.cache\Mac\SFX\PlayerOzFootsteps_E70003E7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Oz\OzFootsteps\OzFootsteps4		6624
